title;company;salary;payment_frequency;experience;employment;hiring_format;schedule;hours;work_format;skills;url;description
Специалист по закупкам в компанию CONTE;УП Конте Шоп;Не указано;Не указано;1 3 года;Частичная занятость;Не указано;Не указано;Не указано;На месте работодателя;MS Excel;https://grodno.rabota.by/vacancy/132087953;"В наш растущий коллектив требуется Специалист по закупкам (0,5 ставки). Чем Вам предстоит заниматься? Работа с ассортиментными матрицами; Формирование заявок и своевременная организация поставок товара в магазины в оптимальном количестве и ассортименте, согласно продажам и остаткам; Своевременное поступление новинок и акционных товаров; Организация перемещения товаров в магазинах розничной сети; Анализ и ведение плана продаж. Вашим несомненным плюсом будет: Опыт работы в аналогичной должности (розничная торговля); Практические знания 1C, продвинутый пользователь Excel; Отличные аналитические способности, внимательность; Умение анализировать и планировать продажи, товарные запасы на складе. Условия: Официальное трудоустройство по трудовой кодекс и полный социальный пакет; Стабильный доход; График работы пн-вт 8:00 - 16:45, ср - 8:00 - 11:30 , чт-вс - выходные дни; Медицинское страхование ; Эксклюзивные скидки на продукцию компании для сотрудников; Подарки к праздничным датам; Подарки детям сотрудников к Новому Году; Возможность карьерного и профессионального роста в стенах компании. Планируемое к созданию рабочее место."
Специалист по кадрам;ООО Спектр-Лайн;От 1 700 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Кадровое делопроизводство, Работа с большим объемом информации, Оформление трудовых книжек, Оформление отпусков;https://grodno.rabota.by/vacancy/132112147;Обязанности: Полное кадровое сопровождение компании (приём, увольнение, переводы, отпуска) Ведение воинского учёта Оформление практики и стажировки учащихся / молодых специалистов Подготовка и сдача отчётности в ФСЗН, Белстат и контролирующие органы Выдача справок, выписок, подготовка документов для льгот, компенсаций, пенсий Взаимодействие с бухгалтером по зарплате, работа в ERP (оперативное внесение данных) Консультирование сотрудников по трудовым вопросам, мониторинг изменений в законодательстве Требования: Высшее юридическое образование Знание трудового законодательства РБ Опыт работы в кадровом учёте на производственном предприятии от 3 лет Знание программ 1C, ERP Ответственность, внимательность и аккуратность Условия: График работы: 5/2, с 9:00 до 18:00 Оформление по трудовой кодекс на период декретного отпуска основного сотрудника Современный офис и комфортные условия Социальный пакет + медицинская страховка Доставка сотрудников из Гродно до места работы и обратно Вакансия планируемая к замещению
Специалист по кадрам;ОАО Гроднооблавтотранс;От 1 500 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132113240;"Обязанности: выполняет работу по комплектованию организации кадрами требуемых профессий, специальностей и квалификации; осуществляет оформление приема, перевода и увольнения работников, выдача справок об их настоящей и прошлой трудовой деятельности, соблюдение правил хранения и заполнения трудовых книжек, оформление пенсий работникам и другой установленной документации по кадрам, внесение соответствующей информации в банк данных о персонале организации; составление установленной отчетности. Требования: высшее образование; опыт работы от 1 года; развитые коммуникативные навыки, уверенный пользователь ПК; ответственность, исполнительность. Условия: отличный коллектив, комфортные условия труда; пятидневная рабочая неделя (5/2); дополнительное медицинское страхование за счет предприятия; содействие в предоставлении жилья. Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Специалист по обеспечению хозяйственной деятельности;ООО Эдельсофт;Не указано;Не указано;Более 6 лет;Частичная занятость;Не указано;5/2;4;На месте работодателя, Права категории B;Хозяйственное обеспечение офиса, Техническое обслуживание зданий;https://grodno.rabota.by/vacancy/132129470;Эдельсофт (Инстинктулс) - компания с опытом 20+ лет разработки программного обеспечения, развития собственных IT-продуктов и полного спектра IT-услуг. В Эдельсофт мы ищем Специалиста по обеспечению хозяйственной деятельности. Чем предстоит заниматься: Организация и поддержка офисной инфраструктуры компании (офисы, переговорные, общественные зоны, кухни, внешние площадки). Контроль технического состояния помещений, организация текущих и мелких ремонтных работ. Взаимодействие с подрядчиками, контроль качества и приёмка выполненных работ. Контроль и обеспечение работы инженерных систем: кондиционирование, водоснабжение, отопление, электроснабжение, системы доступа и безопасности. Организация снабжения офисов мебелью, инвентарём и оборудованием, контроль учёта и сохранности. Исполнение договоров на закупку товаров и услуг, контроль сроков и качества. Логистика между офисами, помощь в оснащении рабочих мест, в том числе для сотрудников в командировках. Контроль клининга, благоустройства и соблюдения порядка в офисах и на прилегающей территории. Контроль соблюдения требований охраны труда, пожарной и санитарной безопасности. Наши ожидания: Опыт административно хозяйственной работы в компаниях с распределенной инфраструктурой. Опыт организации ремонтных работ и взаимодействия с подрядчиками. Понимание работы инженерных и технических систем зданий. Навыки организации закупок и снабжения. Знание требований охраны труда и пожарной безопасности. Наличие водительских прав категории B и личного автомобиля (обязательно) Готовность использовать автомобиль для рабочих задач. Мы ценим: Умение договариваться и выстраивать рабочие отношения. Организованность и ответственность. Системный подход к работе. Инициативность и готовность улучшать процессы. Ссылка на вакансию в банке вакансий на gsz.gov. by:
Администратор в отель;ООО АПИКОМПАНИ;От 1 400 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;5/2;8;На месте работодателя;Стандарты гостеприимства, Администрирование, Английский язык, Гостиничный менеджмент, Бронирование гостиниц, Телефонные переговоры, Точность и внимательность к деталям, Английский B 1 Средний;https://grodno.rabota.by/vacancy/131560831;"«Dzen hotel & hostel» приглашает специалиста на должность администратора ресепшен: Обязанности: прием, регистрация, размещение и расчет гостей; информирование гостей об услугах, бронирование номеров, продажа дополнительных услуг; работа с кассой (проведение взаиморасчетов с гостями); работа в системе управления отелем; ведение телефонных переговоров и электронной переписки; обработка заявок на бронирование; работа с электронными системами бронирования; урегулирование нестандартных вопросов; предупреждение правонарушений и конфликтных ситуаций; обеспечение и контроль сохранности материальных ценностей. Требования: среднее или высшее образование; знание программы Travelline и Битрикс 24 будет являться преимуществом; опыт работы в гостинице или хостеле будет преимуществом; английский язык разговорный уровень; базовое знание КП; умение работать в команде; грамотная речь. Условия: работа в стабильной и интересной компании, возможности для развития; комплексные обеды в ресторане предприятия, со скидкой для сотрудников; конкурентная заработная плата + премия; профессиональная команда, дружный коллектив; официальное трудоустройство, все социальные гарантии; график с 9.00 до 18.00. Просьба не звонить по телефону в выходные дни и после 17:00!"
Продавец-консультант косметической продукции;ООО Бьюти Левел;От 1 400 до 2 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;2/2;11;На месте работодателя;Вежливость, не конфликтность, Кассовые операции, реализация товаров и услуг, ТМЦ, Работа с кассой, Работа в команде;https://grodno.rabota.by/vacancy/131998090;"Обязанности: работа с покупателями; приемка и выкладка товара; заказ продукции; контроль сроков годности продукции; поддержание чистоты и порядка в торговом зале; кассовая дисциплина; контроль за сохранностью товаров. Требования: ответственность, доброжелательность, целеустремленность, коммуникабельность, честность; желание работать в сфере продаж; интерес к косметике. Условия: оформление в соответствии с трудовой кодекс; график работы 2/2 с 10:00 до 22:00; заработная плата от 1400 б.р. за 15 рабочих дней; дружный коллектив; корпоративные подарки и скидки на продукцию. Рабочее место является планируемым к замещению (перспективным)"
Водитель автомобиля;Совместн. п.М&М Милитцер&Мюнх;От 1 900 Br за месяц на руки;Не указано;1 3 года;Полная занятость;Не указано;5/2;8;Разъездной;Автомобильные перевозки, Работа с людьми, Знание города, Грузоперевозки, Водитель;https://grodno.rabota.by/vacancy/131990737;"Требуется водитель на постоянную работу Обязанности: Перевозки мелких и мелкопакетированных грузов по город Гродно Требования: Наличие категории ""ВC"" Опыт работы Знание города Ответственность, умение работать с людьми Условия: работа в пределах города. работа в крупной, стабильной компании; стабильная и своевременная заработная плата на карточку 2 раза в месяц ; официальное трудоустройство согласно законодательству; дружный коллектив."
Продавец;ОЛАНОПТИМА;От 1 500 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;4/4 или 4/2;9 или 12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132125752;"Обязанности: расчет покупателей по КСА (сканерная система); выкладка товара; контроль сроков годности Требования: ответственность и желание работать Условия: график работы в магазине ""Бровар"" по ул.В.Глухова, 28: 4/2 (2 дня с 07.00 до 16.00, 2 дня с 14.00 до 23.00, 2 выходных); график работы в киоске ""Бровар"" по пр.Я.Купалы : 4/4 (2 смены с 08.00 до 20.00. 2 смены с 20.00 до 08.00, 4 выходных); социальные гарантии, мат.помощь, возможность карьерного роста; для кандидатов без опыта работы предусмотрено обучение Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Мерчендайзер, город Гродно;Дарида, Частное предприятие;До 2 200 Br за месяц до вычета налогов;Не указано;Не требуется;Полная занятость;Не указано;6/1 или 5/2;8;Разъездной;Мерчендайзинг, Региональные сети, Умение работать в команде, Ведение клиентской базы, работа с текущей базой клиентов;https://grodno.rabota.by/vacancy/132024098;"Компания ""ДАРИДА"" - приглашает на работу Мерчендайзера город Гродно Обязанности: посещение торговых объектов согласно маршрута; контроль сроков годности, ротация ассортимента, наличия продукции на полках торгового объекта; размещение рекламных материалов; размещение фирменного торгового оборудования предприятия; контроль за состоянием и целевым использованием фирменного торгового оборудования предприятия. Условия: опыт работы приветствуется; официальное оформление; оформление по адресу аг Ждановичи, ул. Линейная 1 а; наличие справки о состоянии здоровья обязательно; октябрь-апрель 5-дневная рабочая неделя , выходной среда и воскресенье; май-сентябрь 6-дневная рабочая неделя (40 часов в неделю) , выходной воскресенье"
Специалист по предпродажной подготовке автомобилей;ООО Альфорт;От 2 500 Br за месяц на руки;Не указано;1 3 года;Полная занятость;Трудовой договор;2/2;12;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132031789;ООО «Альфорт» официальный дилер Geely в Гродно и Гродненской области - лидера по продажам легковых автомобилей в Республике Беларусь. Наша компания продолжает расти и развиваться, в связи с этим мы ищем профессионалов, которые готовы присоединиться к нашей команде. Компания предлагает достойный уровень заработной платы и комфортные современные условия работы. Здесь вас ждет дружная команда профессионалов и единомышленников. Обязанности предпродажное сервисное обслуживание (проверка давления шин, осмотр ЛКП, проверка работоспособности систем автомобиля установка дополнительных различных защит автомобиля нанесение антикор защиты Требования: знание устройства автомобиля опыт работы (не обязательно официальный) ответственность и дисциплинированность работа на результат Умение работать в команде Условия: Официальное трудоустройство Своевременная выплата заработной платы Полный социальный пакет Комфортные условия работы Предоставляем весь спец. инструмент и спец. одежду корпоративные мероприятия *Вакансия, планируемая к созданию (перспективная)
Монтажник наружной рекламы;ООО ЭфСиБи Бел;От 3 000 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Не указано;5/2 или свободный;По договорённости;Разъездной;Не указаны;https://grodno.rabota.by/vacancy/132070232;"Крупная рекламная компания - в поиске сотрудника в городе Гродно . Вы будете заниматься размещением рекламных плакатов на билбордах в вашем городе. Решением некоторых административных вопросов. *Работа может подойти вам, если вы работаете на себя со свободным графиком, в этом случае возможность совмещать есть. Вам предстоит : Размещать рекламные материалы на рекламных конструкциях (обеспечиваем раздвижной лестницей, электроинструментом), менять прожектора при необходимости; Делать фотоотчеты рекламных материалов (на обычный телефон); Согласовать сюжеты по размещению наружной рекламы в городской администрации. От вас : наличие личного автомобиля (для перевозки лестницы) ; Желание работать «руками»; энергичность и заинтересованность в результате. Мы готовы предложить вам : работу с гибким графиком и комфортной занятостью; своевременную высокую зарплату (ежемесячно без задержек на карту. Откликайтесь или звоните, ответим на все вопросы и пригласим на собеседование! «Ссылка на"
Мерчендайзер;УП Юльвен;От 1 000 до 1 500 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;5/2, 3/3, 3/2 или 2/2;Вечерние или ночные смены,11;На месте работодателя;Пополнение товарных запасов, Выкладка товаров;https://grodno.rabota.by/vacancy/132072058;"Мерчендайзер - продвигает товар вперед, отвечает за выкладку товаров и контроль его наличия. Обязанности: Выкладка товара - для эффектных продаж наличие товаров на витрине важно всегда в должном количестве. Контроль наличия ассортимента в торговом зале Контроль сроков годности товара (индивидуально у каждого свои позиции) Проверка соответствия и наличия ценников на товары в торговом зале В час пик розлив пивных напитков Требования: Желание и стремление Научим, если нет опыта Условия: Маркеты ""пиФФко"" приглашают в команду мерчендайзеров, выкладка товаров всего нашего ассортимента в течение дня, помощь товароведу и старшим сотрудникам в приемке товаров. Работа в торговом зале, но не за кассой, только с товаром. У нас современная и молодая команда. нет негатива, все дружны! Приходи! Мы легко умеем встречать и обучать новеньких, оплату производим на этапе вашего обучения! Графики: 1. Горького, 53 А: 2/2 или 3/3 : с 11:00 до 23:00 или 4/2 ВТ-ПТ с 11-23. 2. Ткацкая, 14 В: 2/2 или 3/3 : с 11:00 до 23:00 Ссылка:"
Специалист по рекламной коммуникации;Совместн. п.Конте Спа;От 1 200 Br за месяц на руки;Не указано;1 3 года;Полная занятость;Не указано;2/2 и другие варианты;12;Удалённо;Не указаны;https://grodno.rabota.by/vacancy/132135274;"СООО ""Конте Спа"" приглашает на работу специалиста по рекламной коммуникации. Чем вы будете заниматься? Общение с клиентами в сообществах в Instagram, Вконтакте, Facebook, Одноклассники, Telegram: - ответы на комментарии - обработка входящих сообщений - работа с негативом - помощь клиентам с решением вопроса, контроль решения на всех этапах и поддержание связи с клиентами в течение всего процесса. - полная консультация по продуктам, поиск альтернатив при отсутствии товара - взаимодействие с product-менеджерами - подведение итогов розыгрышей в социальных сетях, работа в сервисах livedune, Meta Business Suite - добавление фотографий в альбомы на странице Вконтакте, Facebook, Одноклассники - ежемесячное составление отчетов по ключевой обратной связи от клиентов (пожеланий, замечаний, позитивных отзывов) Требования: - Понимание принципов работы, интерфейса и функций социальных сетей - Высокий уровень самоорганизации и стрессоустойчивость - Базовые навыки по использованию приложений для видеомонтажа на телефоне (inshot или другиx) - Клиентоориентированность. Главная задача помочь клиенту с решением вопроса - Умение находить компромиссы между клиентами и бизнесом - Доброжелательность, коммуникабельность, уместное чувство юмора - Понимание принципов продаж и этикета в переписке - Грамотная устная и письменная речь - Готовность работать с kpi по времени ответа на обращение (не более 15 минут на ответ) - Приветствуется насмотренность и знание визуальных трендов. Мы предлагаем: - Работа в крупной развивающейся компании - Полное и своевременное выполнение компанией своих обязательств (выплата зарплаты, премий, бонусов) - Официальное трудоустройство и полный социальный пакет - Иногородним предоставляется место в частном жилищном фонде компании - Медицинское страхование - Возможность приобретения фирменной продукции со скидками"
Специалист по организации закупок;ООО СМТстройдор;От 4 000 Br за месяц на руки;Не указано;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132031813;"Транспортная компания приглашает на работу специалиста по организации закупок. ОПЫТ РАБОТЫ ОБЯЗАТЕЛЕН! Заработная плата из расчёта оклад + % Обязанности : Работа на торговых площадках; Привлечение новых заказчиков; Оперативная обработка запросов; Контроль за документооборотом; Контроль дебиторской задолженности по собственным операциям. Требования: Опыт работы на торговых площадках."
"Бариста ""Джезва""";ООО Титанмедиа;От 1 100 Br за месяц на руки;Не указано;Не требуется;Полная занятость;Не указано;2/2;По договорённости;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/132119055;В модную кофейню в самом центре города, требуется бариста. Классно если у тебя аккуратный внешний вид, грамотная речь, ты любишь общаться и умеешь работать в команде. Что будешь делать: Варить классический кофе, а так же Джезву. Данная вакансия является планируемой к созданию или замещению.
Менеджер по активным продажам;Иголенька, ЧП;От 2 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;5/2;8;На месте работодателя;Поиск и привлечение клиентов, Активные продажи, Холодные продажи, Телефонные переговоры, Деловая коммуникация, Навыки переговоров, Навыки продаж, Планирование продаж, Навыки межличностного общения;https://grodno.rabota.by/vacancy/132187129;Обязанности: Развитие продаж на территории город Гродно и Гродненской области (ведение действующей базы клиентов, поиск новых клиентов во всех каналах сбыта (оптовые клиенты, сети, т.д.) Поиск и привлечение новых клиентов, работа с холодными контактами: выявление потребностей, подготовка коммерческих предложений Планирование, контроль и анализ продаж по территории Переговоры с клиентами В 2 В, В 2 С Требования: Опыт работы в активных продажах, преимущество - работа в продажах строительных материалов Опыт проведения переговоров Желание зарабатывать, а не получать Условия: Заработная плата от 2000 белорусских рублей, начиная с третьего месяца работы вы работаете не только на оклад, но и на процент от объема продаж Ссылка на вакансию в банке вакансий на gsz.gov. by:
Водитель-курьер категории B;ООО Сервитал;От 5 800 Br за месяц на руки;Раз в неделю;Не требуется;Подработка;Договор ГПХ с самозанятым, с физлицом;6/1, 5/2, 4/4 и ещё 6;Вечерние или ночные смены,4, 5, 6 и ещё 8;Разъездной;Не указаны;https://grodno.rabota.by/vacancy/131669820;"Выплаты каждую неделю | Свободный график от 4 часов | Доход от 15 BYN/заказ Открыт срочный набор автокурьеров в сервис доставки продуктов. Мы открыты для быстрой подработки. Ваши выгоды: Высокий доход: От 15 BYN за один доставленный заказ. В день легко сделать от 250 руб. Официальное трудоустройство. Не проблема даже если совмещаете. Решен вопрос с отсутствием тунеядства. Низкая комиссия: Пока другие берут 18%, у нас ставка снижается до 14% при выполнении плана. Свобода во всем: Выходите на линию в любое время из любой точки города. Минимальная смена всего 4 часа . Быстрые выплаты: Каждую неделю (среда-четверг) на вашу карту системы МИР или Белкарт. Что нужно: Автомобиль (марка и состояние не важны). Смартфон (Android или iOS). Документы для работы. Жми ""Откликнуться""! Мы позвоним в течение 1-2 часов и пригласим на собеседование. #HH-3059#"
SMM-менеджер;ООО ТопАвтоМаркет;2 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор, Договор ГПХ с физлицом;5/2;8 или по договорённости;На месте работодателя;SMM-стратегия, Взаимодействие с блогерами, Анализ трафика;https://grodno.rabota.by/vacancy/132130115;"В автокомис ""Avtofamily"" требуется оператор SMM-менеджер Обязанности: Ведение аккаунтов компании в социальных сетях (Instagram, Tik-Tok, YouTube); Написание контент-плана для reels; Создание контента (Stories+ Reels); Генерирование новых рубрик с целью вовлечения аудитории; Съемка контента; Мониторинг трендов и предложение идей для их интеграции в коммуникацию; Работа с отзывами и комментариями. Требования: Опыт ведения аккаунтов в Instagram и TikTok (желательно с примерами работ); Понимание специфики платформ и их аудитории; Навыки съёмки и монтажа видео на смартфон (CapCut, InShot и аналоги); Опыт настройки рекламных кабинетов; Ответственность, креативность и умение работать в режиме многозадачности. Условия: Уютный современный офис; Официальное трудоустройство; Бонусы за успешно реализованные проекты; Возможности роста в компании; Классный заряженный коллектив (мы все любим авто сферу)"
Специалист по работе с клиентами;ООО Плит-Мар;От 2 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131975866;"Направления деятельности: поставка и продажа на рынке РБ плитных материалов(ЛДСП,МДФ), кромки ПВХ, столешниц; производство мебели под заказ по индивидуальным проектам; оказание услуг по распилу и раскрою плитных материалов. Обязанности: приём и обработка заказов от клиентов на распил, оклейку кромкой, фрезерование (изготовление мебельных компонентов); работа в программах по раскрою плитных материалов консультация по наличию материала и ассортимента, перечня оказываемых услуг; контроль дебиторской задолженности. Требования-Ключевые навыки: Умение работать в программе Базис-Мебельщик -(ГЛАВНОЕ ТРЕБОВАНИЕ!) Умение работать в команде 1C: Предприятие 8 Уверенный пользователь ПК Деловое общение Работа с большим объемом информации Навыки работы с клиентами Условия: -официальное трудоустройство -социальный пакет; заработная плата 2 раза в месяц на карту банка з.п. на испытательном сроке обсуждается на собеседовании. Данное рабочее место является планируемым к созданию или замещению(перспективным). Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Маркировщик товаров (договор подряда);ООО ВЛАТЕ Логистик;Не указано;Не указано;Не требуется;Подработка;Договор ГПХ с самозанятым, с ИП, с физлицом;Не указано;Не указано;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131343042;"Обязанности: - Маркировка товаров Требования: - Желание работать - Ответственное отношение к работе - Внимательность - Исполнительность Условия: - Работа в складе на ТЛЦ ""Брузги"" по адресу: Гродненский р-н, М-6, 291-й км (около пункта пропуска ""Брузги"") - Работа по договору подряда - Доставка транспортом из город Гродно"
Водитель-экспедитор на автомобили компании, категория В;ООО ЛиГо Пак;От 2 000 до 3 000 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;5/2 или свободный;По договорённости;Разъездной, Права категории B;Не указаны;https://grodno.rabota.by/vacancy/129191624;"ООО «ЛиГо Пак» ведущий поставщик оптом и в розницу широкого ассортимента одноразовой посуды и упаковки, а также хозяйственных товаров и бытовой химии для предприятий сегмента HoReCa. Наши клиенты это точки общественного питания, сетевые рестораны, службы доставки еды, кофейни, которым мы помогаем обеспечивать качество и удобство обслуживания. Чем предстоит заниматься: доставка товаров по всей территории Республики Беларусь надежно и оперативно до каждой точки; загрузка и выгрузка товаров с максимальной заботой о сохранности; работа с сопроводительными документами; контроль состояния автомобиля для своевременного выполнения маршрутов; логистическое планирование, позволяющее оптимизировать процесс и сокращать сроки доставки. Мы ценим в кандидатах: ориентированность на высокий заработок и стремление к достижению лучших результатов; опыт работы водителем, подтверждающий профессионализм и уверенность за рулём; внимательность, ответственность и вежливость качества, которые делают работу комфортной для всех; мобильность и готовность к динамичному графику, необходимые для эффективного выполнения задач. Мы предлагаем: официальное трудоустройство согласно трудовой кодекс; работу в развивающейся, стабильной компании, в дружном коллективе; полный социальный пакет, оплата больничных и отпусков; корпоративную мобильную связь, телефон; предоставление автомобилей компании; ремонт и обслуживание осуществляются на специализированных станциях техобслуживания под постоянным контролем опытных механиков нашей компании;"
Швейцар;ООО Семашко АпартОтель;От 1 500 Br за месяц на руки;Два раза в месяц;Не требуется;Полная занятость;Не указано;1/3;24;На месте работодателя;Работа в команде, Грамотная речь, Деловое общение, Умение работать в команде;https://grodno.rabota.by/vacancy/132196964;"Приглашаем на работу ответственных и гостеприимных людей на должность швейцара в ""Апарт отель Семашко"" Обязанности: - формирование позитивного имиджа отеля осмотр территории объекта; работа с гостями отеля (помощь с багажом и парковкой автомобиля) Требования: опрятный внешний вид; вежливость, стрессоустойчивость, гостеприимность; ответственность Условия: график работы 1/3 ; официальное трудоустройство по контракту; соц.пакет: оплачиваемый отпуск и больничный; питание по себестоимости;"
